Date_Number,Begin_Time(UTC),Begin_Year,Begin_Month,Begin_Day,Begin_Time,Flare_Date_Number,Flare_Max(UTC),Flare_Month,Flare_Day,Flare_Time,Max_Date_Number,Max_Time(UTC),Max_Year,Max_Month,Max_Day,Max_Time,Flare_Level,>10MeV_Max(pfu)
19880630,1988 06/30 1125,1988,06,30,1125,198806300905,2B 06/30 0905,06,30,0905,198806301135,1988 06/30 1135,1988,06,30,1135,M9,12
19880826,1988 08/26 0030,1988,08,26,0030,198808231735,SF 08/23 1735,08,23,1735,198808260045,1988 08/26 0045,1988,08,26,0045,M2,12
19881012,1988 10/12 0920,1988,10,12,0920,,,,,,198810120930,1988 10/12 0930,1988,10,12,0930,NA,12
19881108,1988 11/08 2225,1988,11,08,2225,,,,,,198811090810,1988 11/09 0810,1988,11,09,0810,NA,13
19881114,1988 11/14 0130,1988,11,14,0130,,,,,,198811140310,1988 11/14 0310,1988,11,14,0310,NA,13
19881217,1988 12/17 2220,1988,12,17,2220,198812160845,1B 12/16 0845,12,16,0845,198812180150,1988 12/18 0150,1988,12,18,0150,X4,12
19890104,1989 01/04 2305,1989,01,04,2305,,,,,,198901050130,1989 01/05 0130,1989,01,05,0130,NA,28
19890308,1989 03/08 1755,1989,03,08,1755,198903061406,3B 03/06 1406,03,06,1406,198903100000,1989 03/10 0000,1989,03,10,0000,X15,137
19890310,1989 03/10 2205,1989,03,10,2205,198903171744,3B 03/17 1744,03,17,1744,198903130645,1989 03/13 0645,1989,03,13,0645,X4,1860
19890317,1989 03/17 1900,1989,03,17,1900,198903171743,2B 03/17 1743,03,17,1743,198903180920,1989 03/18 0920,1989,03,18,0920,X6,1250
19890323,1989 03/23 2055,1989,03,23,2055,198903231958,3B 03/23 1958,03,23,1958,198903232220,1989 03/23 2220,1989,03,23,2220,X1,29
19890411,1989 04/11 1555,1989,04,11,1555,198904102323,SF 04/10 2323,04,10,2323,198904120005,1989 04/12 0005,1989,04,12,0005,M1,218
19890505,1989 05/05 0905,1989,05,05,0905,,,,,,198905051000,1989 05/05 1000,1989,05,05,1000,NA,27
19890506,1989 05/06 0615,1989,05,06,0615,198905050736,3B 05/05 0736,05,05,0736,198905061055,1989 05/06 1055,1989,05,06,1055,X2,47
19890523,1989 05/23 1135,1989,05,23,1135,,,,,,198905231358,1989 05/23 1358,1989,05,23,1358,NA,68
19890524,1989 05/24 0730,1989,05,24,0730,,,,,,198905240905,1989 05/24 0905,1989,05,24,0905,NA,15
19890618,1989 06/18 1650,1989,06,18,1650,,,,,,198906181910,1989 06/18 1910,1989,06,18,1910,NA,18
19890630,1989 06/30 0655,1989,06,30,0655,,,,,,198906300710,1989 06/30 0710,1989,06,30,0710,NA,17
19890701,1989 07/01 0655,1989,07,01,0655,,,,,,198907010720,1989 07/01 0720,1989,07,01,0720,NA,17
19890725,1989 07/25 0935,1989,07,25,0935,198907250843,2N 07/25 0843,07,25,0843,198907251220,1989 07/25 1220,1989,07,25,1220,X2,32
19890812,1989 08/12 1620,1989,08,12,1620,198908121426,2B 08/12 1426,08,12,1426,198908130705,1989 08/13 0705,1989,08,13,0705,X2,6550
19890815,1989 08/15 0620,1989,08,15,0620,198906150313,SF 06/15 0313,06,15,0313,198908151725,1989 08/15 1725,1989,08,15,1725,X1,351
