Document,Word,DocumentIndex,WordIndex,TfidfValue
Email Alerts,storm storm,0,12961,0.010123925954818409
Email Alerts,storm left,0,12923,0.0029581657793942466
Email Alerts,left solar,0,7252,0.0029581657793942466
Email Alerts,event western,0,4373,0.0014790828896971233
Email Alerts,geomagnetic transient,0,5564,0.0014790828896971233
Email Alerts,transient influence,0,13993,0.0014790828896971233
Email Alerts,influence solar,0,6453,0.007395414448485616
Email Alerts,day space,0,3073,0.0029581657793942466
Email Alerts,storm likely,0,12926,0.0014790828896971233
Email Alerts,likely solar,0,7363,0.0029581657793942466
Email Alerts,primarily region,0,10232,0.007395414448485616
Email Alerts,region correction,0,11004,0.0014790828896971233
Email Alerts,storm effect,0,12900,0.00337464198493947
Email Alerts,effect left,0,3754,0.0044372486690913695
Email Alerts,greater due,0,5780,0.0014790828896971233
Email Alerts,due flare,0,3594,0.008874497338182739
Email Alerts,flare space,0,5012,0.0029581657793942466
Email Alerts,breakdown storm,0,1475,0.0029581657793942466
Email Alerts,storm geomagnetic,0,12914,0.0044372486690913695
Email Alerts,geomagnetic early,0,5514,0.0014790828896971233
Email Alerts,early geomagnetic,0,3637,0.0029581657793942466
Email Alerts,geomagnetic previous,0,5548,0.0014790828896971233
Email Alerts,previous day,0,10205,0.0029581657793942466
Email Alerts,day wane,0,3079,0.0014790828896971233
Email Alerts,wane solar,0,14580,0.0014790828896971233
Email Alerts,radio day,0,10722,0.0014790828896971233
Email Alerts,breakdown isolated,0,1471,0.0029581657793942466
Email Alerts,isolated minor,0,6924,0.0044372486690913695
Email Alerts,minor geomagnetic,0,8023,0.011832663117576987
Email Alerts,geomagnetic storming,0,5559,0.007395414448485616
Email Alerts,storming first,0,12979,0.0029581657793942466
Email Alerts,first effect,0,4905,0.0029581657793942466
Email Alerts,effect influence,0,3748,0.0014790828896971233
Email Alerts,chance minor,0,1768,0.011832663117576987
Email Alerts,minor solar,0,8035,0.011832663117576987
Email Alerts,event persist,0,4345,0.007395414448485616
Email Alerts,persist given,0,9617,0.008874497338182739
Email Alerts,given current,0,5605,0.007395414448485616
Email Alerts,current total,0,2728,0.007395414448485616
Email Alerts,total disk,0,13906,0.007395414448485616
Email Alerts,disk potential,0,3446,0.007395414448485616
Email Alerts,likely event,0,7344,0.0044372486690913695
Email Alerts,event continue,0,4317,0.0029581657793942466
Email Alerts,continue region,0,2371,0.0029581657793942466
Email Alerts,breakdown remain,0,1473,0.0014790828896971233
Email Alerts,remain effect,0,11119,0.0014790828896971233
Email Alerts,effect persist,0,3760,0.0029581657793942466
Email Alerts,persist solar,0,9620,0.0014790828896971233
Email Alerts,forecast minor,0,5189,0.005916331558788493
Email Alerts,radiation chance,0,10662,0.0014790828896971233
Email Alerts,chance remain,0,1776,0.0014790828896971233
Email Alerts,remain radio,0,11127,0.0014790828896971233
Email Alerts,radio approach,0,10713,0.0029581657793942466
Email Alerts,approach western,0,754,0.005916331558788493
Email Alerts,low activity,0,7500,0.007395414448485616
Email Alerts,activity chance,0,201,0.007395414448485616
Email Alerts,chance activity,0,1746,0.008874497338182739
Email Alerts,activity space,0,282,0.0017471403628454459
Email Alerts,blackout space,0,1418,0.005916331558788493
Email Alerts,storm solar,0,12959,0.00449952264658596
Email Alerts,forecast likely,0,5185,0.008874497338182739
Email Alerts,chance isolated,0,1763,0.019228077566062603
Email Alerts,isolated primarily,0,6926,0.008874497338182739
Email Alerts,primarily flare,0,10224,0.007395414448485616
Email Alerts,effect effect,0,3736,0.0044372486690913695
Email Alerts,effect ambient,0,3726,0.0014790828896971233
Email Alerts,ambient likely,0,586,0.0014790828896971233
Email Alerts,likely influence,0,7350,0.0029581657793942466
Email Alerts,radiation currently,0,10666,0.0014790828896971233
Email Alerts,currently threshold,0,2749,0.0014790828896971233
Email Alerts,threshold radiation,0,13725,0.0014790828896971233
Email Alerts,radio event,0,10727,0.0029581657793942466
Email Alerts,moderate radio,0,8242,0.007395414448485616
Email Alerts,radio chance,0,10717,0.011832663117576987
Email Alerts,day radio,0,3066,0.0029581657793942466
Email Alerts,greater solar,0,5789,0.0029581657793942466
Email Alerts,storm alert,0,12886,0.0014790828896971233
Email Alerts,alert threshold,0,504,0.0014790828896971233
Email Alerts,blackout chance,0,1414,0.0029581657793942466
Email Alerts,geomagnetic first,0,5520,0.00224976132329298
Email Alerts,first glancing,0,4913,0.0029581657793942466
Email Alerts,glancing effect,0,5628,0.005916331558788493
Email Alerts,left positive,0,7248,0.0029581657793942466
Email Alerts,positive effect,0,9947,0.005916331558788493
Email Alerts,effect solar,0,3774,0.007395414448485616
