Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
1982 06/06 0245,1982 06/06 0245,10,3763,S09E72,2B 06/03 1146,X8,NA,NA,NA,NA
1982 06/09 0040,1982 06/09 0510,30,3763,S09E25,3B 06/06 1654,X12,NA,NA,NA,NA
1982 07/11 0700,1982 07/13 1615,"2,900",3804,N17E73,3B 07/09 0742,X9,NA,NA,NA,NA
1982 07/22 2030,1982 07/23 0220,240,3804,N29W86,0F 07/22 1734,M4,NA,NA,NA,NA
1982 09/05 2205,1982 09/06 0100,66,3886,N11E30,3N 09/04 0400,M4,NA,NA,NA,NA
1982 11/22 1940,1982 11/22 2140,40,3994,S11W43,1N 11/22 1828,M7,NA,NA,NA,NA
1982 11/26 0605,1982 11/26 1500,25,3994,S11W86,2B 11/26 0253,X4,NA,NA,NA,NA
1982 12/08 0010,1982 12/08 1000,"1,000",4007,S19W86,1B 12/07 2354,X2,NA,NA,NA,NA
1982 12/17 1845,1982 12/18 0945,130,4026,S10E24,2B 12/15 0202,X12,NA,NA,NA,NA
1982 12/19 1920,1982 12/20 0515,85,4022,N10W75,2B 12/19 1624,M9,NA,NA,NA,NA
1982 12/27 0600,1982 12/27 1345,190,4033,S14E31,1B 12/25 0752,X2,NA,NA,NA,NA
1983 02/03 1200,1983 02/04 1620,340,4077,S19W00,3B 02/03 0619,X4,NA,NA,NA,NA
1983 06/15 0435,1983 06/15 1800,18,4201,Farside event,A 06/14,N,NA,NA,NA,NA
1984 02/16 0915,1984 02/16 1005,660,4408,Farside event,,NA,NA,NA,NA,NA
1984 02/19 1310,1984 02/21 1415,55,4421,N16E82,2B 02/17 2301,X2,NA,NA,NA,NA
1984 03/13 1440,1984 03/13 1450,10,NA,NA,,NA,NA,NA,NA,NA
1984 03/14 0405,1984 03/14 0505,100,4433,S12W42,1B 03/14 0334,M2,NA,NA,NA,NA
1984 04/25 1330,1984 04/26 1420,"2,500",4474,S12E43,3B 04/25 0025,X13,NA,NA,NA,NA
1984 05/24 1045,1984 05/24 1140,31,4492,S09E24,2B 05/22 1503,M6,NA,NA,NA,NA
1984 05/31 1315,1984 05/31 1415,14,4492,S09W90,?? 05/31 1142,M1,NA,NA,NA,NA
1985 01/22 0415,1985 01/22 0550,14,4617,S08W38,2B 01/21 2350,X4,NA,NA,NA,NA
1985 04/25 1430,1985 04/26 0600,160,4647,N06E27,3B 04/24 0935,X1,NA,NA,NA,NA
1985 07/09 0235,1985 07/09 0325,140,4671,S16W36,1B 07/09 0204,M2,NA,NA,NA,NA
1986 02/06 0825,1986 02/07 1730,50,4711,S04W06,3B 02/06 0625,X1,Yes,Yes,NA,NA
1986 02/07 1310,1986 02/07 1750,77,4711,S10W20,2B 02/07 0913,M5,Yes,Yes,NA,NA
1986 02/14 1455,1986 02/14 2110,111,4713,N01W76,1N 02/14 0929,M6,NA,NA,NA,NA
1986 03/06 1835,1986 03/06 1930,13,4717,N02E01,1F 03/06 1703,C4,No,No,NA,NA
1986 05/04 1835,1986 05/04 1930,16,NA,NA,,NA,NA,NA,NA,NA
1987 11/08 0145,1987 11/08 0945,41,4875,N31W90,N/A 11/07 2013,M1,Yes,Yes,NA,NA
1988 01/03 0100,1988 01/03 0730,32,4912,S34W18,3B 01/02 2144,X1,Yes,Yes,NA,NA
1988 03/25 2250,1988 03/25 2310,33,4965,N22W90,N/A 03/25 2153,C4,Yes,Yes,NA,NA
1988 06/30 1125,1988 06/30 1135,12,5060,S16E22,2B 06/30 0905,M9,Yes,No,NA,NA
1988 08/26 0030,1988 08/26 0045,12,5123,N24E88,SF 08/23 1735,M2,Yes,No,NA,NA
1988 10/12 0920,1988 10/12 0930,12,NA,NA,,NA,NA,NA,NA,NA
1988 11/08 2225,1988 11/09 0810,13,NA,NA,,NA,NA,NA,NA,NA
1988 11/14 0130,1988 11/14 0310,13,NA,NA,,NA,NA,NA,NA,NA
1988 12/17 2220,1988 12/18 0150,12,5278,N26E37,1B 12/16 0845,X4,Yes,Yes,NA,NA
1989 01/04 2305,1989 01/05 0130,28,NA,NA,,NA,NA,NA,NA,NA
1989 03/08 1755,1989 03/10 0000,137,5395,N35E69,3B 03/06 1406,X15,Yes,Yes,NA,NA
1989 03/10 2205,1989 03/13 0645,"1,860",5395,N31E22,3B 03/17 1744,X4,Yes,Yes,NA,NA
1989 03/17 1900,1989 03/18 0920,"1,250",5395,N33W60,2B 03/17 1743,X6,Yes,Yes,NA,NA
1989 03/23 2055,1989 03/23 2220,29,5409,N18W28,3B 03/23 1958,X1,Yes,Yes,NA,NA
1989 04/11 1555,1989 04/12 0005,218,NA,N37W12,SF 04/10 2323,M1,No,No,NA,NA
1989 05/05 0905,1989 05/05 1000,27,NA,NA,,NA,NA,NA,NA,NA
1989 05/06 0615,1989 05/06 1055,47,5470,N30E01,3B 05/05 0736,X2,Yes,Yes,NA,NA
1989 05/23 1135,1989 05/23 1358,68,NA,NA,,NA,NA,NA,NA,NA
1989 05/24 0730,1989 05/24 0905,15,NA,NA,,NA,NA,NA,NA,NA
1989 06/18 1650,1989 06/18 1910,18,NA,NA,,NA,NA,NA,NA,NA
1989 06/30 0655,1989 06/30 0710,17,NA,NA,,NA,NA,NA,NA,NA
1989 07/01 0655,1989 07/01 0720,17,NA,NA,,NA,NA,NA,NA,NA
1989 07/25 0935,1989 07/25 1220,32,5603,N25W84,2N 07/25 0843,X2,Yes,Yes,NA,NA
1989 08/12 1620,1989 08/13 0705,"6,550",5629,S16W37,2B 08/12 1426,X2,Yes,Yes,NA,NA
