Begin_Time(UTC),Max_Time(UTC),>10MeV_Max(pfu),Region,Location,Flare_Max(UTC),Flare_Level,Type_II_Radio_Emission,Type_IV,Linear_Speed,Imagery/Misc
2012 06/16 1955,2012 06/16 2020,14,11504,S17E14,N/A 06/14 1435,M1,NA,Yes,987 km/s,C2
2012 07/07 0400,2012 07/07 0745,25,11515,S18W50,N/A 07/06 2308,X1,NA,NA,1828 km/s,C2
2012 07/09 0130,2012 07/09 0430,19,11515,S17W74,1N 07/08 1632,M6,YES,NA,2711 km/s,C2 SDO
2012 07/12 1835,2012 07/12 2225,96,11520,S16W09,2B 07/12 1649,X1,NA,NA,885 km/s,C2
2012 07/17 1715,2012 07/18 0600,136,11520,S17W75,N/A 07/17 1715,M1,NA,NA,958 km/s,C2
2012 07/23 1545,2012 07/23 2145,12,11520,Farside,,NA,NA,NA,2003 km/s,C2
2012 09/01 1335,2012 09/02 0850,60,NA,S06E20,N/A 08/31 2043,C8,NA,NA,567 km/s,C2
2012 09/28 0300,2012 09/28 0445,28,11577,N08W41,N/A 09/27 2357,C3,NA,NA,947 km/s,C2
2013 03/16 1940,2013 03/17 0700,16,11692,N11E12,N/A 03/15 0658,M1,NA,NA,1063 km/s,C2
2013 04/11 1055,2013 04/11 1645,114,11719,N09E12,N/A 04/11 0716,M6,NA,NA,861 km/s,C2
2013 05/15 1325,2013 05/17 1720,42,11748,N11E51,N/A 05/15 0148,X1,NA,NA,1366 km/s,C2
2013 05/22 1420,2013 05/23 0650,1660,11745,N15W70,N/A 05/22 1332,M5,NA,NA,1466 km/s,C2 SDO
2013 06/23 2014,2013 06/24 0520,14,11777,S16E66,N/A 06/21 0314,M2,NA,NA,1900 km/s,C2
2013 09/30 0505,2013 09/30 2005,182,DSF,N15W40,N/A 09/29 2337,C1,NA,NA,1179 km/s,C2
2013 12/28 2150,2013 12/28 2315,29,11936,S18E07,N/A 12/28 1802,C9,NA,NA,1118 km/s,C2
2014 01/06 0915,2014 01/06 1600,42,11936,Farside,,NA,No,NA,1402 km/s,C2
2014 01/06 0915,2014 01/09 0340,1026,11944,S15W11,N/A 01/07 1832,X1,Yes,Yes,1830 km/s,C2 SDO
2014 02/20 0850,2014 02/20 0925,22,11976,S15W67,N/A 02/20 0756,M3,Yes,Yes,948 km/s,C2
2014 02/25 1355,2014 02/25 0845,103,11990,S12E82,N/A 02/25 0049,X4,Yes,Yes,2147 km/s,C2 SDO
2014 04/18 1525,2014 04/19 0105,58,12036,S16W41,N/A 04/18 1303,M7,Yes,Yes,1203 km/s,C2
2014 09/11 0240,2014 09/12 1555,126,12158,N16W06,N/A 09/10 1745,X1,Yes,Yes,1267 km/s,C2
2015 06/18 1135,2015 06/18 1445,17,12365,SW limb,N/A 06/18 0127,M1,No,No,1714 km/s,C2
2015 06/21 2135,2015 06/22 1900,1066,12371,N13W00,1N 06/21 0142,M2,Yes,Yes,1366 km/s,C2
2015 06/26 0350,2015 06/27 0030,22,12371,N12W40,N/A 06/25 0816,M7,Yes,Yes,1627 km/s,C2
2015 10/29 0550,2015 10/29 1000,23,12434,Farside,,NA,NA,NA,530 km/s,C2
2016 01/02 0430,2016 01/02 0450,21,12473,S21W73,N/A 01/02 0011,M2,Yes,Yes,1730 km/s,C2
2017 07/14 0900,2017 07/14 2320,22,12665,S06W29,N/A 07/14 0209,M2,Yes,Yes,1200 km/s,C2
2017 09/05 0040,2017 09/08 0035,844,12673,S11W16,N/A 09/04 2033,M5,Yes,No,1418 km/s,C2
2017 09/10 1645,2017 09/11 1145,1494,12673,S08W83,N/A 09/10 1606,X8,Yes,Yes,3163 km/s,C2
2021 05/29 0300,2021 05/29 0320,15,12824,N21W63,1F 05/28 2313,C9,Yes,Yes,971 km/s,C2
2021 10/28 1635,2021 10/29 0250,29,12887,S26W04,2N 10/28 1535,X1,Yes,Yes,1519 km/s,C2
2021 10/30 2100,2021 10/30 2105,11,12887,S26W04,2N 10/28 1535,X1,Yes,Yes,1519 km/s,ESP enhancement during decay of previous event
2022 01/20 0800,2022 01/20 1015,22,12929,N08W84,Sf 01/20 0601,M5,Yes,Yes,1431 km/s,Flux Plot
2022 03/28 1325,2022 03/28 1450,19,12975,N13W06,2N 03/28 1129,M4,Yes,Yes,702 km/s,C2 data C2 X-Ray
2022 03/31 0620,2022 03/31 0630,11,12975,N13W31,N/A 03/30 1737,X1,Yes,Yes,641 km/s,C2 data C2 X-Ray
2022 04/02 1430,2022 04/02 1600,32,12976,N15W61,SN 03/28 1129,M3,Yes,Yes,1433 km/s,C2 data C2 X-Ray
2022 08/27 1155,2022 08/27 1220,27,13088,N13W34,N/A 08/27 1138,M1,No,No,NA,No data
2023 02/25 2110,2023 02/26 0440,58,13229,N26W43,3N 02/25 1944,M6,Yes,No,1170 km/s,C2 data C2 X-Ray
2023 03/13 0735,2023 03/15 0425,22,Farsided,NA,,farside event,No,No,1699 km/s,Event started on 13 Mar then an additional enhancement was observed with CME shock C2 X-Ray C2 data
2023 04/23 1815,2023 04/23 1820,26,13283,S22W14,21 1812,M1.7 04,Yes,Yes,1284 km/s,C2 X-Ray
2023 05/08 1240,2023 05/09 0150,38,13296,N16W13,07 2323,M1.6 05,No,No,1075 km/s,C2 X-Ray
2023 05/09 2335,2023 05/10 1250,83,13296,N13W31,1B 09/1858,M4,Yes 1892 km/s,Yes,1209 km/s,C2 X-Ray
2023 07/16 0635,2023 07/16 0735,18,NA,farside event,,NA,No,No,NA,Event appeared to be associated with farside activity
2023 07/18 0115,2023 07/18 0615,620,13363,S26W87,18 0006,M5 07,No,No,1385 km/s,C2 X-Ray
2023 07/29 0020,2023 07/29 0920,154,13376,N27W87,28 1558,M4 07,Yes,No,1896 km/s,C2 X-Ray
2023 08/05 1115,2023 08/05 1745,18,13386,N10W63,05 0718,M1 08,Yes,No,NA,There was an additonal enhancement to this event following an X1 from 3386
2023 08/08 0115,2023 08/09 0025,47,13386,Beyond west limb,07 2046,X1 08,Yes,No,1851 km/s,C2 X-Ray
2023 09/01 0430,2023 09/01 0610,25,13413,N09W75,01 0351,M1 09,Yes,Yes,1339 km/s,C2 X-Ray DST
2023 12/15 2345,2023 12/16 0015,13,13514,N05W76,,NA,Yes,Yes,NA,Combination of flare activity from region 3514 and secondary CME enhancements
2024 01/03 2005,2024 01/04 0835,20,13536,N04E73,3B 12/31 2203,X5,Yes,Yes,NA,C2 X-Ray DST
2024 01/29 0615,2024 01/29 1805,137,13559,N26E73,Sf 01/29 0438,M6.7,Yes,No,NA,C2 Wind Waves
2024 02/09 1530,2024 02/09 2355,187,13575,Beyond SW limb,09 1314,X3.3 02,Yes,Yes,NA,NA
2024 02/12 0805,2024 02/13 1605,118,13576,S16W30,Sf 02/12 0554,C9.6,No,Yes,NA,NA
2024 03/23 0815,2024 03/23 1820,956,13614,N27E08,2F 03/23 0133,X1.1,Yes,No,NA,Assymetric haloa> Flux Plot
2024 05/10 1335,2024 05/10 1745,208,13664,S17W36,10 0654,X3.9 05,Yes,Yes,NA,NA
2024 05/11 0210,2024 05/11 0910,116,13664,S17W44,11 0123,X5.8 05,Yes,Yes,NA,This event followed shortly after the previous had fallen below 10pfu
2024 06/08 0255,2024 06/08 0800,1030,13696,S17W58,08 0149,M9.7 06,Yes,Yes,NA,N/Aa> Flux Plot
2024 07/23 0300,2024 07/23 1040,24,NA,Farsided event,,NA,No,No,NA,Farside full halo
2024 09/09 1640,2024 09/09 2250,34,13806,S08W81,09 0332,M1.0 09,Yes,No,NA,Flux Plot
2024 09/17 0735,2024 09/17 1050,33,13825,S16E20,16 2357,C9.6 09,Yes,Yes,NA,Flux Plot
2024 10/09 0505,2024 10/10 1515,1810,13848,N12W11,09 0156,X1.8 10,Yes,Yes,NA,Flux Plot
2024 10/26 1910,2024 10/28 0350,364,13873,S11E56,26 0719,X1.8 10,Yes,Yes,NA,Flux Plot
2024 11/21 1925,2024 11/22 0355,125,NA,Beyond W Limb,,NA,No,No,NA,Flux Plot
2025 01/04 2235,2025 01/05 0055,20,13939,S17W61,04 1915,C7.6 01,No,No,NA,Flux Plot
2025 02/25 0020,2025 02/25 0240,37,NA,Around SW Limb,24 2302,M3.9 02,Yes,Yes,NA,Flux Plot
