Day,Month,Year,Time,Max_Time(UTC),>10MeV_Max(pfu),Flare_Max(UTC),Flare_Level,Date_Number,0000,0300,0600,0900,1200,1500,1800,2100
15,8,1989,620,1989 08/15 1725,351,SF 06/15 0313,X1,19890815,0,0,0,0,0,0,0,0
16,8,1989,125,1989 08/16 1425,1430,2N 08/16 0123,X20,19890816,0,0,0,0,0,0,0,0
17,8,1989,615,1989 08/17 0945,986,SF 08/17 0121,X2,19890817,0,0,0,0,0,0,0,0
19,8,1989,1725,1989 08/20 0155,258,N/A 08/19 2008,C8,19890819,0,0,0,0,0,0,0,0
4,9,1989,240,1989 09/04 0920,16,1B 09/03 1431,X1,19890904,0,0,0,0,0,0,0,0
12,9,1989,2210,1989 09/13 0825,32,N/A 09/12 0814,M5,19890912,0,0,0,0,0,0,0,0
29,9,1989,1200,1989 09/30 0210,2960,N/A 09/29 1132,X9,19890929,0,0,0,0,0,0,0,0
6,10,1989,500,1989 10/06 0825,22,,,19891006,0,0,0,0,0,0,0,0
19,10,1989,1310,1989 10/20 1600,42200,4B 10/19 1306,X13,19891019,0,0,0,0,0,0,0,0
22,10,1989,1755,1989 10/23 0715,5330,2B 10/22 1804,X2,19891022,0,0,0,0,0,0,0,0
24,10,1989,1825,1989 10/25 0210,2530,3B 10/24 1829,X5,19891024,0,0,0,0,0,0,0,0
29,10,1989,620,1989 10/29 1005,24,N/A 10/29 0450,M4,19891029,0,0,0,0,0,0,0,0
9,11,1989,345,1989 11/09 0445,15,2B 11/08 1912,M9,19891109,0,0,0,0,0,0,0,0
15,11,1989,755,1989 11/15 0905,38,3B 11/15 0658,X3,19891115,0,0,0,0,0,0,0,0
27,11,1989,2140,1989 11/28 1105,165,2B 11/26 1941,M4,19891127,0,0,0,0,0,0,0,0
30,11,1989,1410,1989 12/01 1330,3590,3B 11/30 1230,X2,19891130,0,0,0,0,0,0,0,0
19,3,1990,705,1990 09/19 2315,946,2B 03/19 0700,X1,19900319,0,0,0,0,0,0,0,0
29,3,1990,920,1990 03/29 1005,15,2N 03/28 0750,M4,19900329,0,0,0,0,0,0,0,0
7,4,1990,2220,1990 04/08 1355,19,1N 04/03 1725,X1,19900407,0,0,0,0,0,0,0,0
11,4,1990,2120,1990 04/11 2120,13,1N 04/10 1214,M1,19900411,0,0,0,0,0,0,0,0
17,4,1990,400,1990 04/17 0700,12,2B 04/15 0300,X1,19900417,0,0,0,0,0,0,0,0
28,4,1990,1005,1990 04/28 1735,149,SF 04/28 0026,C2,19900428,0,0,0,0,0,0,0,0
21,5,1990,2355,1990 05/22 0750,409,2B 05/21 2218,X5,19900521,0,0,0,0,0,0,0,0
24,5,1990,2125,1990 05/25 0115,177,1B 05/24 2050,X9,19900524,0,0,0,0,0,0,0,0
26,5,1990,2110,1990 05/27 0120,88,N/A 05/26 2057,X1,19900526,0,0,0,0,0,0,0,0
28,5,1990,645,1990 05/29 0100,45,N/A 05/28 0433,C1,19900528,0,0,0,0,0,0,0,0
12,6,1990,1140,1990 06/12 1700,79,2B 06/12 0540,M6,19900612,0,0,0,0,0,0,0,0
26,7,1990,1100,1990 07/26 2315,20,2N 07/25 2333,M2,19900726,0,0,0,0,0,0,0,0
1,8,1990,20,1990 08/01 2045,227,2B 07/30 0736,M4,19900801,0,0,0,0,0,0,0,0
31,1,1991,1130,1991 01/31 1620,242,2B 01/31 0229,X1,19910131,0,0,0,0,0,0,0,0
25,2,1991,1200,1991 02/25 1305,12,2N 02/25 0818,X1,19910225,0,0,0,0,0,0,0,0
23,3,1991,820,1991 03/24 0350,43500,3B 03/22 2246,X9,19910323,0,0,0,0,0,0,0,0
29,3,1991,2120,1991 03/30 0330,20,,,19910329,0,0,0,0,0,0,0,0
3,4,1991,815,1991 04/04 1000,52,3B 04/02 2326,M6,19910403,0,0,0,0,0,0,0,0
13,5,1991,300,1991 05/13 0905,358,N/A 05/13 0142,M8,19910513,0,0,0,0,0,0,0,0
31,5,1991,1150,1991 06/01 0500,22,2B 05/29 2344,X1,19910531,0,0,0,0,0,0,0,0
4,6,1991,820,1991 06/07 0400,224,3B 06/04 0352,X12,19910604,0,0,0,0,0,0,0,0
11,6,1991,250,1991 06/11 1420,3000,3B 06/11 0209,X12,19910611,0,0,0,0,0,0,0,0
15,6,1991,835,1991 06/15 1955,1400,3B 06/15 0821,X12,19910615,0,0,0,0,0,0,0,0
30,6,1991,555,1991 07/02 1010,106,N/A 06/28 0625,M6,19910630,0,0,0,0,0,0,0,0
7,7,1991,455,1991 07/08 1650,2310,2B 07/07 0222,X1,19910707,0,0,0,0,0,0,0,0
11,7,1991,35,1991 07/11 0450,30,2N 07/10 1227,M3,19910711,0,0,0,0,0,0,0,0
11,7,1991,2255,1991 07/12 0305,17,3B 07/11 1037,M7,19910711,0,0,0,0,0,0,0,0
26,8,1991,1730,1991 08/27 1830,236,2B 08/25 0113,X2,19910826,0,0,0,0,0,0,0,0
1,10,1991,1700,1991 10/01 1810,12,4B 09/29 1533,M7,19911001,0,0,0,0,0,0,0,0
28,10,1991,1300,1991 10/28 1440,39,3B 10/27 0547,X6,19911028,0,0,0,0,0,0,0,0
30,10,1991,745,1991 10/30 0810,94,3B 10/30 0632,X2,19911030,0,0,0,0,0,0,0,0
7,2,1992,645,1992 02/07 1115,77,2B 02/06 1047,M4,19920207,0,0,0,0,0,0,0,0
16,3,1992,830,1992 03/16 0900,10,3B 03/15 0153,M7,19920316,0,0,0,0,0,0,0,0
9,5,1992,940,1992 05/09 2100,4650,4B 05/08 1545,M7,19920509,0,0,0,0,0,0,0,0
25,6,1992,2045,1992 06/26 0615,389,2B 06/25 2013,X3,19920625,0,0,0,0,0,0,0,0
28,6,1992,950,1992 06/29 0235,24,SF 06/28 1400,X1,19920628,0,0,0,0,0,0,0,0
6,8,1992,1145,1992 08/06 1210,14,1N 08/03 0706,M4,19920806,0,0,0,0,0,0,0,0
30,10,1992,1920,1992 10/31 0710,2680,2B 10/30 1815,X1,19921030,0,0,0,0,0,0,0,0
2,11,1992,305,1992 11/02 0910,1060,2B 11/02 0307,X9,19921102,0,0,0,0,0,0,0,0
4,3,1993,1455,1993 03/04 1615,17,2N 03/04 1239,C8,19930304,0,0,0,0,0,0,0,0
12,3,1993,2010,1993 03/13 0155,43,3B 03/12 1815,M7,19930312,0,0,0,0,0,0,0,0
20,2,1994,305,1994 02/21 0900,10200,3B 02/20 0141,M4,19940220,0,3,0,0,0,0,0,0
20,10,1994,30,1994 10/20 0340,35,1F 10/19 2127,M3,19941020,3,0,0,0,0,0,0,0
20,10,1995,825,1995 10/20 1210,62,0F 10/20 0607,M1,19951020,0,0,4,0,0,0,0,0
4,11,1997,830,1997 11/04 1300,67,2B 11/04 0558,X2,19971104,0,0,3,0,0,0,0,0
6,11,1997,1305,1997 11/07 0255,490,2B 11/06 1155,X9,19971106,0,0,0,0,2,0,0,0
20,4,1998,1405,1998 04/21 1145,161,N/A 04/20 1021,M1,19980420,0,0,0,0,4,0,0,0
2,5,1998,1415,1998 05/02 1655,149,3B 05/02 1342,X1,19980502,0,0,0,0,7,0,0,0
6,5,1998,840,1998 05/06 0945,239,1N 05/06 0809,X2,19980506,0,0,1,0,0,0,0,0
9,5,1998,2055,1998 05/10 0020,12,N/A 05/09 0340,M7,19980509,0,0,0,0,0,0,3,0
24,8,1998,2355,1998 08/26 1055,665,3B 08/24 2213,X1,19980824,0,0,0,0,0,0,0,3
24,9,1998,2355,1998 09/25 0130,44,3B 09/23 0713,M6,19980924,0,0,0,0,0,0,0,5
30,9,1998,1520,1998 10/01 0025,1160,2N 09/30 1350,M2,19980930,0,0,0,0,0,2,0,0
14,11,1998,810,1998 11/14 1245,314,N/A 11/14 0508,C1,19981114,0,0,5,0,0,0,0,0
23,1,1999,1000,1999 01/23 1135,14,N/A 01/20 2024,M5,19990123,0,0,0,3,0,0,0,0
24,4,1999,1820,1999 04/25 0055,31,,,19990424,0,0,0,0,0,0,2,0
5,5,1999,1820,1999 05/05 1955,14,2N 05/03 0602,M4,19990505,0,0,0,0,0,0,3,0
2,6,1999,220,1999 06/02 1010,48,,,19990602,3,0,0,0,0,0,0,0
4,6,1999,925,1999 06/04 1055,64,2B 06/04 0703,M3,19990604,0,0,0,2,0,0,0,0
18,2,2000,1115,2000 02/18 1215,13,,,20000218,0,0,0,0,0,0,0,0
4,4,2000,2055,2000 04/05 0930,55,2F 04/04 1541,C9,20000404,0,0,0,0,0,0,4,0
7,6,2000,1310,2000 06/08 0940,84,3B 06/06 1525,X2,20000607,0,0,0,0,3,0,0,0
10,6,2000,1805,2000 06/10 2045,46,3B 06/10 1702,M5,20000610,0,0,0,0,0,0,3,0
14,7,2000,1045,2000 07/15 1230,24000,3B 07/14 1024,X5,20000714,0,0,0,4,0,0,0,0
22,7,2000,1320,2000 07/22 1405,17,2N 07/22 1114,M3,20000722,0,0,0,0,3,0,0,0
28,7,2000,520,2000 07/28 0655,21,,,20000728,0,3,0,0,0,0,0,0
11,8,2000,1650,2000 08/11 1655,17,SF 08/09 1647,C2,20000811,0,0,0,0,0,4,0,0
12,9,2000,1605,2000 09/13 0340,321,2F 09/12 1213,M1,20000912,0,0,0,0,0,3,0,0
16,10,2000,1110,2000 10/16 1840,15,N/A 10/16 1139,M2,20001016,0,0,0,1,0,0,0,0
26,10,2000,40,2000 10/26 0340,15,N/A 10/25 1125,C4,20001026,2,0,0,0,0,0,0,0
8,11,2000,2350,2000 11/09 1555,14800,3F 11/08 2328,M7,20001108,0,0,0,0,0,0,0,3
24,11,2000,1600,2000 11/24 2120,93,2B 11/24 1513,X2,20001124,0,0,0,0,0,3,0,0
25,11,2000,2340,2000 11/26 1715,591,2N 11/25 0131,M8,20001125,0,0,0,0,0,0,0,2
26,11,2000,1845,2000 11/26 2030,942,2B 11/26 1648,X4,20001126,0,0,0,0,0,0,5,0
18,4,2001,315,2001 04/18 1045,32,N/A 04/18 0314,C2,20010418,0,7,0,0,0,0,0,0
28,4,2001,430,2001 04/28 0500,57,2N 04/26 1312,M7,20010428,0,5,0,0,0,0,0,0
15,6,2001,1750,2001 06/16 0005,26,,,20010615,0,0,0,0,0,3,0,0
16,8,2001,135,2001 08/16 0355,493,,,20010816,2,0,0,0,0,0,0,0
24,9,2001,925,2001 09/25 2235,12900,2B 09/24 1038,X2,20010924,0,0,0,2,0,0,0,0
1,10,2001,1245,2001 10/02 0810,2360,N/A 10/01 0515,M9,20011001,0,0,0,0,5,0,0,0
19,10,2001,2225,2001 10/19 2230,11,2B 10/19 0105,X1,20011019,0,0,0,0,0,0,0,3
22,10,2001,1910,2001 10/22 2130,24,2N 10/22 1508,M6,20011022,0,0,0,0,0,0,6,0
4,11,2001,1705,2001 11/06 0215,31700,3B 11/04 1620,X1,20011104,0,0,0,0,0,3,0,0
19,11,2001,1050,2001 11/20 0010,34,1N 11/17 0525,M2,20011119,0,0,0,3,0,0,0,0
22,11,2001,2320,2001 11/24 0555,18900,2N 11/22 2330,M9,20011122,0,0,0,0,0,0,0,2
26,12,2001,605,2001 12/26 1115,779,1B 12/26 0540,M7,20011226,0,0,0,0,0,0,0,0
29,12,2001,510,2001 12/29 0815,76,1B 12/26 0540,M7,20011229,0,4,0,0,0,0,0,0
30,12,2001,2135,2001 12/31 1620,108,N/A 12/28 2045,X3,20011230,0,0,0,0,0,0,0,4
10,1,2002,2015,2002 01/11 0530,91,N/A 01/08 2025,C9,20020110,0,0,0,0,0,0,4,0
15,1,2002,1110,2002 01/15 2000,15,N/A 01/14 0627,M4,20020115,0,0,0,2,0,0,0,0
20,2,2002,730,2002 02/20 0755,13,1N 02/20 0612,M5,20020220,0,0,3,0,0,0,0,0
17,3,2002,820,2002 03/17 0850,13,1F 03/15 2312,M2,20020317,0,0,0,0,0,0,0,0
18,3,2002,1300,2002 03/19 0650,53,SF 03/18 0231,M1,20020318,0,0,0,0,4,0,0,0
20,3,2002,1515,2002 03/20 1525,19,SF 03/18 0231,M1,20020320,0,0,0,0,0,4,0,0
22,3,2002,2020,2002 03/23 1320,16,N/A 03/22 1113,M1,20020322,0,0,0,0,0,0,2,0
17,4,2002,1530,2002 04/17 1540,24,2N 04/17 0824,M2,20020417,0,0,0,0,0,6,0,0
21,4,2002,225,2002 04/21 2320,2520,1F 04/21 0151,X1,20020421,3,0,0,0,0,0,0,0
22,5,2002,1755,2002 05/23 1055,820,SF 05/22 0349,C5,20020522,0,0,0,0,0,3,0,0
7,7,2002,1830,2002 07/07 1955,22,N/A 07/07 1143,M1,20020707,0,0,0,0,0,0,3,0
16,7,2002,1750,2002 07/17 1600,234,3B 07/15 2008,X3,20020716,0,0,0,0,0,2,0,0
22,7,2002,625,2002 07/23 1025,28,N/A 07/20 2130,X3,20020722,0,0,4,0,0,0,0,0
14,8,2002,900,2002 08/14 1620,26,1N 08/14 0212,M2,20020814,0,0,0,3,0,0,0,0
22,8,2002,440,2002 08/22 0940,36,2B 08/22 0157,M5,20020822,0,3,0,0,0,0,0,0
24,8,2002,140,2002 08/24 0835,317,1F 08/24 0112,X3,20020824,3,0,0,0,0,0,0,0
7,9,2002,440,2002 09/07 1650,20,SF 09/05 1706,C5,20020907,0,3,0,0,0,0,0,0
9,11,2002,1920,2002 11/10 0540,404,2B 11/09 1323,M4,20021109,0,0,0,0,0,0,3,0
28,5,2003,2340,2003 05/29 1530,121,2B 05/28 0027,X3,20030528,0,0,0,0,0,0,0,4
31,5,2003,440,2003 05/31 0645,27,2B 05/31 0224,M9,20030531,0,5,0,0,0,0,0,0
18,6,2003,2125,2003 06/19 0415,19,SF 06/17 2255,M6,20030618,0,0,0,0,0,0,0,4
26,10,2003,1825,2003 10/26 2235,466,1N 10/26 1815,X1,20031026,0,0,0,0,0,0,3,0
28,10,2003,1215,2003 10/29 0615,29500,4B 10/28 1110,X17,20031028,0,0,0,0,3,0,0,0
29,10,2003,2100,2003 10/30 1935,3300,2B 10/29 2049,X10,20031029,0,0,0,0,0,0,0,8
2,11,2003,1735,2003 11/03 0815,1570,2B 11/02 1725,X8,20031102,0,0,0,0,0,4,0,0
4,11,2003,2225,2003 11/05 0600,353,3B 11/04 1952,X28,20031104,0,0,0,0,0,0,0,3
21,11,2003,2355,2003 11/22 0230,13,2B 11/20 2353,M5,20031121,0,0,0,0,0,0,0,2
2,12,2003,1555,2003 12/02 1820,88,N/A 12/02 1150,C8,20031202,0,0,0,0,0,2,0,0
11,4,2004,1135,2004 04/11 1845,35,1F 04/11 0419,C9,20040411,0,0,0,2,0,0,0,0
25,7,2004,1825,2004 07/25 2250,2090,1F 07/25 1520,M9,20040725,0,0,0,0,0,0,6,0
13,9,2004,2005,2004 09/14 0005,273,2N 09/12 0056,M4,20040913,0,0,0,0,0,0,3,0
19,9,2004,1925,2004 09/20 0100,57,N/A 09/19 1712,M1,20040919,0,0,0,0,0,0,2,0
1,11,2004,655,2004 11/01 0805,63,,,20041101,0,0,1,0,0,0,0,0
7,11,2004,1910,2004 11/08 0115,495,N/A 11/07 1606,X2,20041107,0,0,0,0,0,0,6,0
9,11,2004,2030,2004 11/09 2130,82,2N 11/09 1719,M8,20041109,0,0,0,0,0,0,8,0
10,11,2004,255,2004 11/10 1655,424,3B 11/10 0213,X2,20041110,8,0,0,0,0,0,0,0
16,1,2005,210,2005 01/17 1750,5040,N/A 01/15 2302,X2,20050116,2,0,0,0,0,0,0,0
14,5,2005,525,2005 05/15 0240,3140,2B 05/13 1657,M8,20050514,0,1,0,0,0,0,0,0
16,6,2005,2200,2005 06/17 0500,44,N/A 06/16 2022,M4,20050616,0,0,0,0,0,0,0,3
14,7,2005,245,2005 07/15 0345,134,N/A 07/13 1449,M5,20050714,2,0,0,0,0,0,0,0
27,7,2005,2300,2005 07/29 1715,41,N/A 07/27 0502,M3,20050727,0,0,0,0,0,0,0,5
22,8,2005,2040,2005 08/23 1045,330,1N 08/22 1727,M5,20050822,0,0,0,0,0,0,3,0
8,9,2005,215,2005 09/11 0425,1880,3B 09/07 1740,X17,20050908,3,0,0,0,0,0,0,0
6,12,2006,1555,2006 12/07 1930,1980,2N 12/05 1035,X9,20061206,0,0,0,0,0,3,0,0
13,12,2006,310,2006 12/13 0925,698,4B 12/13 0240,X3,20061213,0,3,0,0,0,0,0,0
14,8,2010,1230,2010 08/14 1245,14,SF 08/14 1005,C4,20100814,0,0,0,0,1,0,0,0
8,3,2011,105,2011 03/08 0800,50,N/A 03/07 2012,M3,20110308,2,0,0,0,0,0,0,0
21,3,2011,1950,2011 03/22 0135,14,,,20110321,0,0,0,0,0,0,1,0
7,6,2011,820,2011 06/07 1820,73,2N 06/07 0641,M2,20110607,0,0,1,0,0,0,0,0
4,8,2011,635,2011 08/05 2150,96,2B 08/04 0357,M9,20110804,0,0,0,0,0,0,0,0
9,8,2011,845,2011 08/09 1210,26,2B 08/09 0805,X6,20110809,0,0,3,0,0,0,0,0
23,9,2011,2255,2011 09/26 1155,35,2N 09/22 1101,X1,20110923,0,0,0,0,0,0,0,1
26,11,2011,1125,2011 11/27 0125,80,N/A 11/26 0710,C1,20111126,0,0,0,1,0,0,0,0
23,1,2012,530,2012 01/24 1530,6310,2B 01/23 0359,M8,20120123,0,3,0,0,0,0,0,0
27,1,2012,1905,2012 01/28 0205,796,1F 01/27 1837,X1,20120127,0,0,0,0,0,0,2,0
7,3,2012,510,2012 03/08 1115,6530,3B 03/07 0024,X5,20120307,0,4,0,0,0,0,0,0
13,3,2012,1810,2012 03/13 2045,469,1B 03/13 1741,M7,20120313,0,0,0,0,0,0,3,0
17,5,2012,210,2012 05/17 0430,255,N/A 05/17 0147,M5,20120517,2,0,0,0,0,0,0,0
27,5,2012,535,2012 05/27 1045,14,,,20120527,0,2,0,0,0,0,0,0
16,6,2012,1955,2012 06/16 2020,14,N/A 06/14 1435,M1,20120616,0,0,0,0,0,0,4,0
7,7,2012,400,2012 07/07 0745,25,N/A 07/06 2308,X1,20120707,0,2,0,0,0,0,0,0
9,7,2012,130,2012 07/09 0430,19,1N 07/08 1632,M6,20120709,5,0,0,0,0,0,0,0
